invoice_number,vendor_id,vendor_name,vendor_category,country,city,po_number,department,invoice_date,due_date,payment_terms,currency,amount,tax_rate,tax_amount,invoice_status,created_timestamp,is_fraud,fraud_type
INV-901781-7501,VEND-99FCF6C7,Srivastava LLC,Electronics,India,Hazaribagh,PO-7A1835AA,R&D,2024-11-21,2025-02-19,90,INR,94194.97,0.5091,47954.66,PAID,2024-11-21T20:17:59,1,TAX
INV-900858-9865,VEND-34425F7F,"Gera, Baral and Kota",Furniture,India,Bahraich,PO-410C53CE,Procurement,2023-09-07,2023-11-06,60,INR,54163.61,0.1383,7490.83,PAID,2023-09-07T04:05:47,1,PO_MISMATCH
INV-002900-847B,VEND-FC45B8AB,Murthy-Sahota Enterprises,Transportation,China,Haridwar,PO-958632C4,Facilities,2023-08-14,2023-11-12,90,CNY,4470.75,0.1047,468.09,OVERDUE,2023-08-14T11:34:16,0,NONE
INV-006757-5091,VEND-59049DD4,Kumer-Prasad Pvt Ltd,Transportation,India,Bhalswa Jahangir Pur,PO-317240B0,Facilities,2024-10-21,2024-11-05,15,INR,9705.61,0.0777,754.13,PENDING,2024-10-21T00:05:57,1,DUPLICATE
INV-004491-D237,VEND-5235F8EE,"Yohannan, Hegde and Patla",Furniture,USA,Coimbatore,PO-E9735E6D,Procurement,2023-02-20,2023-04-21,60,USD,21885.05,0.1428,3125.19,PENDING,2023-02-20T12:25:55,0,NONE
INV-010761-E9A6,VEND-1871E88E,"Sur, Vyas and Morar & Co",Packaging,China,Muzaffarnagar,PO-319A9243,Procurement,2024-08-01,2024-08-16,15,CNY,10192.63,0.1033,1052.9,APPROVED,2024-08-01T13:53:48,0,NONE
INV-002891-76F8,VEND-0239D12E,"Vyas, Chander and Sampath",Office Supplies,USA,Surat,PO-15D5435F,HR,2024-10-25,2024-12-09,45,USD,9793.96,0.0916,897.13,PAID,2024-10-25T11:26:20,0,NONE
INV-005175-0BB7,VEND-D1804190,Misra Group,Office Supplies,India,Katihar,PO-CC4DE60E,Finance,2024-06-13,2024-07-28,45,INR,5867.16,0.1096,643.04,PAID,2024-06-13T13:55:26,0,NONE
INV-003302-6C20,VEND-97806843,"Ram, Dalal and Lala",Office Supplies,India,Amroha,PO-31F5FD2E,IT,2024-12-30,2025-02-13,45,INR,22655.61,0.0657,1488.47,APPROVED,2024-12-30T11:19:13,0,NONE
INV-003093-E988,VEND-AF5E422A,Tandon-Grewal Enterprises,Maintenance,India,Agra,PO-EF841EE0,Marketing,2023-01-20,2023-03-21,60,INR,19668.54,0.1071,2106.5,PAID,2023-01-20T16:17:24,0,NONE
INV-008972-7295,VEND-4FDC059D,Singh Group Industries,Office Supplies,India,Panipat,PO-ADBD136C,HR,2023-12-27,2024-03-26,90,INR,14092.23,0.0843,1187.97,PENDING,2023-12-27T09:16:55,0,NONE
INV-900489-C46C,VEND-5812B2E0,Boase Inc,Machinery,India,Ramagundam,PO-B453A806,Finance,2024-11-16,2025-01-15,60,INR,1575110.87,0.1523,239889.39,PAID,2024-11-16T20:04:17,1,AMOUNT_INFLATION
INV-003868-4E10,VEND-C9897459,Basu-Aggarwal,IT Services,Germany,Bikaner,PO-EDB81270,IT,2023-06-20,2023-08-19,60,EUR,82470.18,0.18,14844.63,PAID,2023-06-20T15:06:08,0,NONE
INV-901136-FB1F,VEND-3CC0C21F,Sagar-Chandran,Electronics,China,Purnia,PO-23C594F8,Facilities,2023-03-28,2023-06-26,90,CNY,52432.56,0.1472,7718.07,PAID,2023-03-28T14:48:17,1,PO_MISMATCH
INV-011131-AEE0,VEND-9411CEB4,Deshmukh Inc LLC,Transportation,Germany,Malegaon,PO-0F8698E8,Logistics,2023-05-12,2023-08-10,90,EUR,42253.27,0.0729,3080.26,PAID,2023-05-12T09:03:18,0,NONE
INV-003038-FFFF,VEND-EBEA91BA,Karpe and Sons,Packaging,India,Gopalpur,PO-265AB5B5,IT,2024-07-11,2024-08-10,30,INR,14154.58,0.1089,1541.43,OVERDUE,2024-07-11T11:28:49,0,NONE
INV-900522-FA9E,VEND-4AA6D62B,"Gokhale, Tripathi and Cherian & Co",Machinery,India,Guna,PO-8A8E017B,HR,2024-02-14,2024-03-30,45,INR,3558847.44,0.1441,512829.92,PAID,2024-02-14T17:08:51,1,AMOUNT_INFLATION
INV-900672-8949,VEND-11AE4500,"Buch, Devi and Dora Enterprises",Maintenance,Singapore,Yamunanagar,PO-F682904B,Operations,2023-10-19,2023-12-03,45,SGD,366001.48,0.1187,43444.38,PAID,2023-10-19T07:26:30,1,AMOUNT_INFLATION
INV-001269-EC49,VEND-644BF441,"Dhaliwal, Palla and Mukherjee & Co",Maintenance,India,Bikaner,PO-04773C91,Logistics,2023-03-09,2023-03-24,15,INR,4392.15,0.0669,293.83,PAID,2023-03-09T14:30:35,0,NONE
INV-006841-40E0,VEND-A86574FE,Devan-Chatterjee Inc,Raw Materials,India,Tirupati,PO-0AAE38AE,Finance,2023-12-29,2024-02-27,60,INR,180616.51,0.0592,10692.5,APPROVED,2023-12-29T17:00:32,0,NONE
INV-011010-B8C4,VEND-43DAA4E9,Dua and Sons,Raw Materials,India,Bhalswa Jahangir Pur,PO-6830FE29,Procurement,2024-05-13,2024-06-27,45,INR,289372.17,0.068,19677.31,PAID,2024-05-13T16:10:43,0,NONE
INV-007831-0406,VEND-AA5B4230,Narang PLC,Furniture,India,Rajkot,PO-54940B65,Facilities,2023-03-22,2023-05-06,45,INR,105751.87,0.1494,15799.33,PENDING,2023-03-22T11:40:15,0,NONE
INV-003536-9C6B,VEND-1CBC0202,Ahuja-Dutta,Raw Materials,India,Mau,PO-D7F81DB2,HR,2024-04-04,2024-04-19,15,INR,142529.69,0.0963,13725.61,PAID,2024-04-04T09:40:06,0,NONE
INV-900456-20F7,VEND-11364066,"Chad, Mukherjee and Puri",Transportation,Singapore,Warangal,PO-7AFC437E,R&D,2024-08-20,2024-11-18,90,SGD,138786.94,0.0874,12129.98,PAID,2024-08-20T10:40:45,1,AMOUNT_INFLATION
INV-000336-FB16,VEND-37DB4D5D,Kothari-Ahuja,Office Supplies,India,Yamunanagar,PO-3D15CF1B,R&D,2024-12-12,2025-01-11,30,INR,8691.5,0.1165,1012.56,PAID,2024-12-12T13:42:56,0,NONE
INV-005992-C1FF,VEND-68F79677,"Soni, Sood and Iyengar",Packaging,India,Pondicherry,PO-B4627AD1,R&D,2023-09-25,2023-11-09,45,INR,9099.64,0.0979,890.85,APPROVED,2023-09-25T12:36:29,0,NONE
INV-901339-C120,VEND-9D3C1737,Saraf-Narula LLC,Consulting,Germany,Dehri,PO-8F3A19AC,Facilities,2023-01-04,2023-03-05,60,EUR,81389.93,0.18,14650.19,PAID,2023-01-04T23:44:48,1,DUPLICATE_PO
INV-900932-CA02,VEND-103CF30C,"Khosla, Ramachandran and Zachariah",Maintenance,India,Yamunanagar,PO-2724B86C,R&D,2024-03-25,2024-06-23,90,INR,5302.06,0.1094,580.05,PAID,2024-03-25T22:35:56,1,PO_MISMATCH
INV-009953-BA2E,VEND-841EE0E4,"Naik, Babu and Ghosh",Office Supplies,India,Faridabad,PO-510641B9,IT,2024-12-06,2025-03-06,90,INR,12239.49,0.115,1407.54,PAID,2024-12-06T14:15:39,0,NONE
INV-009928-3FBD,VEND-F4A14577,"Zachariah, Aurora and Chander",Office Supplies,India,Rourkela,PO-972E2855,Production,2023-01-10,2023-02-24,45,INR,3980.0,0.0981,390.44,PENDING,2023-01-10T20:19:25,1,DUPLICATE
INV-006665-865F,VEND-EBEA91BA,Karpe and Sons,Packaging,India,Gopalpur,PO-6AFD3086,Marketing,2024-01-16,2024-02-15,30,INR,18114.51,0.1089,1972.67,PAID,2024-01-16T16:17:06,0,NONE
INV-901898-75C7,VEND-172FD81F,Divan-Bhatti & Co,Electronics,India,Panipat,PO-A0D5B070,HR,2023-06-14,2023-09-12,90,INR,133449.18,0.54,72062.56,PAID,2023-06-14T20:10:10,1,TAX
INV-009168-E73C,VEND-023010E0,"Puri, Murthy and Ghose",Office Supplies,India,Katihar,PO-6B8ABAEA,Operations,2024-05-15,2024-05-30,15,INR,22996.62,0.0535,1230.32,PENDING,2024-05-15T21:12:43,1,DUPLICATE
INV-008961-45B6,VEND-ED0B2167,"Modi, Rau and Magar",Raw Materials,India,Bahraich,PO-DBA641FC,Marketing,2023-02-07,2023-03-24,45,INR,74796.89,0.1042,7793.84,APPROVED,2023-02-07T13:01:30,0,NONE
INV-001028-C1D2,VEND-EF9ED780,"Munshi, Gupta and Dutta",Maintenance,India,Kottayam,PO-00D6E5C4,Facilities,2024-09-03,2024-11-02,60,INR,6649.78,0.0596,396.33,PENDING,2024-09-03T17:55:25,0,NONE
INV-001805-D118,VEND-C1D2293E,Bawa PLC Traders,Maintenance,India,Baranagar,PO-A80425D7,Operations,2024-03-26,2024-05-25,60,INR,3509.0,0.0939,329.5,PAID,2024-03-26T15:29:00,0,NONE
INV-004417-AC8E,VEND-FBF488A1,"Acharya, Naik and Suresh",Packaging,India,Gorakhpur,PO-24D7C7C5,Marketing,2024-06-10,2024-06-25,15,INR,10388.3,0.0909,944.3,APPROVED,2024-06-10T09:40:27,0,NONE
INV-008907-80CA,VEND-1E529909,"Kapur, Dara and Iyer Pvt Ltd",Raw Materials,India,Patiala,PO-A1F1BEA3,Operations,2023-11-14,2023-12-14,30,INR,227047.26,0.0573,13009.81,PAID,2023-11-14T12:55:20,0,NONE
INV-010348-E869,VEND-8E19D08C,Tata PLC,Office Supplies,Singapore,Kottayam,PO-C9D1126B,Production,2024-06-19,2024-07-19,30,SGD,20403.33,0.0991,2021.97,PAID,2024-06-19T09:03:55,0,NONE
INV-006589-8B6E,VEND-0FDD7C9B,Bhatnagar Ltd Industries,Maintenance,India,Vadodara,PO-2CD39013,Facilities,2023-08-30,2023-10-29,60,INR,27355.29,0.0649,1775.36,PAID,2023-08-30T18:21:52,0,NONE
INV-005520-DEFD,VEND-CE4A3BFE,Desai-Lalla & Co,Transportation,India,Sambhal,PO-B21B8BCD,Finance,2024-03-28,2024-05-27,60,INR,9428.44,0.0745,702.42,APPROVED,2024-03-28T18:54:08,0,NONE
